"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerBirthdateComparator record1Value","[1] PlayerBirthdateComparator record2Value","[1] PlayerBirthdateComparator record1PreprocessedValue","[1] PlayerBirthdateComparator record2PreprocessedValue","[1] PlayerBirthdateComparator similarity","[1] PlayerBirthdateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","tm_4672","fm_16011","0.0",,"Louka Prip","Saad Agouzoul","Louka Prip","Saad Agouzoul","0.0","0.0","1997-06-29T00:00","1997-08-10T00:00","1997-06-29T00:00","1997-08-10T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_6703","fm_15639","0.0",,"Beñat Prados","Sotiris Alexandropoulos","Beñat Prados","Sotiris Alexandropoulos","0.0","0.0","2001-02-08T00:00","2001-11-26T00:00","2001-02-08T00:00","2001-11-26T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_3728","fm_17954","0.0",,"Richie Omorowa","Tiago Pinheiro","Richie Omorowa","Tiago Pinheiro","0.0","0.0","2004-03-30T00:00","2004-01-15T00:00","2004-03-30T00:00","2004-01-15T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_1602","fm_7203","0.0",,"Ethan Bartlow","Bjarki Steinn Bjarkason","Ethan Bartlow","Bjarki Steinn Bjarkason","0.0","0.0","2000-02-02T00:00","2000-05-11T00:00","2000-02-02T00:00","2000-05-11T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_5998","fm_14872","0.0",,"Rafael Leão","Alejandro Pozo","Rafael Leão","Alejandro Pozo","0.0","0.0","1999-06-10T00:00","1999-02-22T00:00","1999-06-10T00:00","1999-02-22T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_5306","fm_15643","0.0",,"Fabijan Buntic","Rayan Raveloson","Fabijan Buntic","Rayan Raveloson","0.0","0.0","1997-02-24T00:00","1997-01-16T00:00","1997-02-24T00:00","1997-01-16T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_8729","fm_12308","0.0",,"Matteo Campani","Thanawat Suengchitthawon","Matteo Campani","Thanawat Suengchitthawon","0.0","0.0","2000-08-19T00:00","2000-01-08T00:00","2000-08-19T00:00","2000-01-08T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_2268","fm_5385","0.0",,"Mohammed Mahzari","Remi van Ekeris","Mohammed Mahzari","Remi van Ekeris","0.0","0.0","2002-05-19T00:00","2002-09-23T00:00","2002-05-19T00:00","2002-09-23T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_8472","fm_12052","0.0",,"Moussa Sylla","Gabriel Sara","Moussa Sylla","Gabriel Sara","0.0","0.0","1999-11-25T00:00","1999-06-26T00:00","1999-11-25T00:00","1999-06-26T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_3044","fm_3691","0.0",,"Ezimet Qeyser","Rainey Breinburg","Ezimet Qeyser","Rainey Breinburg","0.0","0.0","2005-10-05T00:00","2005-08-05T00:00","2005-10-05T00:00","2005-08-05T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_7192","fm_7869","0.0",,"Elliot Anderson","Giovanni Robotti","Elliot Anderson","Giovanni Robotti","0.0","0.0","2002-11-06T00:00","2002-01-30T00:00","2002-11-06T00:00","2002-01-30T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_8260","fm_8991","0.0",,"Noah Marec","Alberto Graziano","Noah Marec","Alberto Graziano","0.0","0.0","2004-08-25T00:00","2004-11-22T00:00","2004-08-25T00:00","2004-11-22T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_5168","fm_11500","0.0",,"Javi Montero","Alexander Isak","Javi Montero","Alexander Isak","0.0","0.0","1999-01-14T00:00","1999-09-21T00:00","1999-01-14T00:00","1999-09-21T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_6793","fm_9948","0.0",,"Arnau Martínez","Hakan Aydın","Arnau Martínez","Hakan Aydın","0.0","0.0","2003-04-25T00:00","2003-02-05T00:00","2003-04-25T00:00","2003-02-05T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_9505","fm_10613","0.0",,"Julio Alonso","Yue Tze Nam","Julio Alonso","Yue Tze Nam","0.0","0.0","1998-12-14T00:00","1998-05-12T00:00","1998-12-14T00:00","1998-05-12T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_2045","fm_2632","0.0",,"Dennis De Sousa Oelsner","Paweł Bochniewicz","Dennis De Sousa Oelsner","Paweł Bochniewicz","0.0","0.0","1996-06-26T00:00","1996-01-30T00:00","1996-06-26T00:00","1996-01-30T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_8555","fm_12128","0.0",,"Noa Mupemba","Santiago Muñoz","Noa Mupemba","Santiago Muñoz","0.0","0.0","2002-07-27T00:00","2002-08-14T00:00","2002-07-27T00:00","2002-08-14T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_6793","fm_9947","0.0",,"Arnau Martínez","Yunus Kılınç","Arnau Martínez","Yunus Kılınç","0.0","0.0","2003-04-25T00:00","2003-02-24T00:00","2003-04-25T00:00","2003-02-24T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_4628","fm_6398","0.0",,"Mert Cetin","Zeki Çelik","Mert Cetin","Zeki Çelik","0.0","0.0","1997-01-01T00:00","1997-02-17T00:00","1997-01-01T00:00","1997-02-17T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_6111","fm_15034","0.0",,"Patric","Nermin Zolotic","Patric","Nermin Zolotic","0.0","0.0","1993-04-17T00:00","1993-07-07T00:00","1993-04-17T00:00","1993-07-07T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_5545","fm_3372","0.0",,"Bertug Yildirim","Andri Fannar Baldursson","Bertug Yildirim","Andri Fannar Baldursson","0.0","0.0","2002-07-12T00:00","2002-01-10T00:00","2002-07-12T00:00","2002-01-10T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_2834","fm_10271","0.0",,"Matías Vargas","Pedro Delgado","Matías Vargas","Pedro Delgado","0.0","0.0","1997-05-08T00:00","1997-04-07T00:00","1997-05-08T00:00","1997-04-07T00:00","0.0","0.0"
