"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerBirthdateComparator record1Value","[0] PlayerBirthdateComparator record2Value","[0] PlayerBirthdateComparator record1PreprocessedValue","[0] PlayerBirthdateComparator record2PreprocessedValue","[0] PlayerBirthdateComparator similarity","[0] PlayerBirthdateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","eafc_10803","fm_1276","0.33333333333333337",,"1998-04-01T00:00","1996-03-11T00:00","1998-04-01T00:00","1996-03-11T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_5908","fm_10268","0.0",,"1996-05-01T00:00","1992-07-01T00:00","1996-05-01T00:00","1992-07-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10834","fm_15394","0.6666666666666667",,"2003-02-10T00:00","2002-07-15T00:00","2003-02-10T00:00","2002-07-15T00:00","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","eafc_8073","fm_6979","0.0",,"2001-04-02T00:00","1998-06-28T00:00","2001-04-02T00:00","1998-06-28T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_5908","fm_11352","0.0",,"1996-05-01T00:00","1993-02-27T00:00","1996-05-01T00:00","1993-02-27T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9410","fm_15494","0.0",,"2001-03-28T00:00","1995-11-11T00:00","2001-03-28T00:00","1995-11-11T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_5908","fm_8516","0.0",,"1996-05-01T00:00","2003-11-17T00:00","1996-05-01T00:00","2003-11-17T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9484","fm_16690","0.0",,"2000-02-08T00:00","2003-11-27T00:00","2000-02-08T00:00","2003-11-27T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10834","fm_10948","1.0",,"2003-02-10T00:00","2003-01-05T00:00","2003-02-10T00:00","2003-01-05T00:00","1.0","1.0"
"LinearCombinationMatchingRule","eafc_10834","fm_8038","0.6666666666666667",,"2003-02-10T00:00","2004-08-29T00:00","2003-02-10T00:00","2004-08-29T00:00","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","eafc_9484","fm_15362","0.0",,"2000-02-08T00:00","1997-11-21T00:00","2000-02-08T00:00","1997-11-21T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_5908","fm_17726","0.0",,"1996-05-01T00:00","2002-01-26T00:00","1996-05-01T00:00","2002-01-26T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9484","fm_14279","0.0",,"2000-02-08T00:00","1987-05-13T00:00","2000-02-08T00:00","1987-05-13T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_8073","fm_17177","0.0",,"2001-04-02T00:00","2005-10-01T00:00","2001-04-02T00:00","2005-10-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10803","fm_10295","0.0",,"1998-04-01T00:00","1993-04-30T00:00","1998-04-01T00:00","1993-04-30T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_4686","fm_14560","0.0",,"1996-03-11T00:00","1990-09-10T00:00","1996-03-11T00:00","1990-09-10T00:00","0.0","0.0"
