df1,df2,name1,birthdate1,name2,birthdate2,score
fm_7178,tm_9162,Duccio Degli Innocenti,2003-04-28,Duccio Degli Innocenti,2003-04-28,True
fm_11368,tm_9724,Wilfred Ndidi,1996-12-16,Wilfred Ndidi,1996-12-16,True
fm_16031,tm_9301,Oier Luengo,1997-11-11,Oier Luengo,1997-11-11,True
fm_16755,tm_5686,Nathan Zeze,2005-06-18,Nathan Zeze,2005-06-18,True
fm_1751,tm_2079,Edison Azcona,2003-11-21,Edison Azcona,2003-11-21,True
fm_3712,tm_2690,Jonas Oehmichen,2004-03-03,Jonas Oehmichen,2004-03-03,True
fm_14967,tm_8187,Yan Valery,1999-02-22,Yan Valery,1999-02-22,True
fm_1928,tm_7242,Mohammed Kudus,2000-08-02,Mohammed Kudus,2000-08-02,True
fm_7306,tm_8989,Alessandro Fontanarosa,2003-02-07,Alessandro Fontanarosa,2003-02-07,True
fm_11484,tm_7440,Carlos Vinícius,1995-03-25,Carlos Vinícius,1995-03-25,True
fm_15598,tm_5869,Mory Diaw,1993-06-22,Mory Diaw,1993-06-22,True
fm_6271,tm_4997,Arthur Cabral,1998-04-25,Arthur Cabral,1998-04-25,True
fm_9642,tm_4435,Emrecan Uzunhan,2001-02-26,Emrecan Uzunhan,2001-02-26,True
fm_15332,tm_9635,Nikita Iosifov,2001-04-11,Nikita Iosifov,2001-04-11,True
fm_6711,tm_10095,Luis Binks,2001-09-02,Luis Binks,2001-09-02,True
fm_1621,tm_2204,Jackson Ragen,1998-09-24,Jackson Ragen,1998-09-24,True
fm_9509,tm_4712,Majid Hosseini,1996-06-20,Majid Hosseini,1996-06-20,True
fm_6165,tm_6449,Nicola Sansone,1991-09-10,Nicola Sansone,1991-09-10,True
fm_11868,tm_9962,Darragh Lenihan,1994-03-16,Darragh Lenihan,1994-03-16,True
fm_6046,tm_6045,Paul Pogba,1993-03-15,Paul Pogba,1993-03-15,True
fm_12034,tm_10002,Callum O'Dowda,1995-04-23,Callum O'Dowda,1995-04-23,True
fm_14379,tm_6809,David Soria,1993-04-04,David Soria,1993-04-04,True
fm_6903,tm_9046,Niccolò Corrado,2000-03-19,Niccolò Corrado,2000-03-19,True
fm_11713,tm_9812,Adam Forshaw,1991-10-08,Adam Forshaw,1991-10-08,True
fm_6566,tm_8704,Antonio Barreca,1995-03-18,Antonio Barreca,1995-03-18,True
fm_11628,tm_7483,Jack Cork,1989-06-25,Jack Cork,1989-06-25,True
fm_6936,tm_6358,Samuele Vignato,2004-02-24,Samuele Vignato,2004-02-24,True
fm_3250,tm_1721,Kolja Pusch,1993-02-12,Kolja Pusch,1993-02-12,True
fm_11318,tm_7101,Donny van de Beek,1997-04-18,Donny van de Beek,1997-04-18,True
